"","value","L1"
"66","
			
			
			
				어메이징 스파이더맨
			
			
			스토리 도 엉망 풀어나가는 과정도 난잡함 봐줄만한건 액션 
			
			
			
				
				
				
				신고
			
			
			",7
"67","
			
			
			
				어메이징 스파이더맨
			
			
			재밌어요!@#$%^ 
			
			
			
				
				
				
				신고
			
			
			",7
"68","
			
			
			
				어메이징 스파이더맨
			
			
			졸잼인데 ㅈㄹ들이야 작품성만봐 이상한 트집잡지말고 오리지널 스파이더맨의 그 사각형얼굴 여자꼴보기싫었었음 
			
			
			
				
				
				
				신고
			
			
			",7
"69","
			
			
			
				어메이징 스파이더맨
			
			
			코너스 교수가 기계팔만 달았어도 리자드고 뭐고 다 없었다. 
			
			
			
				
				
				
				신고
			
			
			",7
"70","
			
			
			
				어메이징 스파이더맨
			
			
			오리지널이 흐월씬 재밌다 
			
			
			
				
				
				
				신고
			
			
			",7
"71","
			
			
			
				어메이징 스파이더맨
			
			
			개인적으로 기존에 있던 스파이더맨 스리즈 보다어메이징 스파이더맨이 헐신 재미있었다! 
			
			
			
				
				
				
				신고
			
			
			",8
"72","
			
			
			
				어메이징 스파이더맨
			
			
			꿀잼인데 맨날 재미없다하네 빠가들은 
			
			
			
				
				
				
				신고
			
			
			",8
"73","
			
			
			
				어메이징 스파이더맨
			
			
			기존 스파이더맨 시리즈보다 나은 점이 안보이네요 
			
			
			
				
				
				
				신고
			
			
			",8
"74","
			
			
			
				어메이징 스파이더맨
			
			
			특별히 볼만한 건 없다. 스파이더맨 
			
			
			
				
				
				
				신고
			
			
			",8
"75","
			
			
			
				어메이징 스파이더맨
			
			
			종합 평점은 7점 드립니다. 
			
			
			
				
				
				
				신고
			
			
			",8
"76","
			
			
			
				어메이징 스파이더맨
			
			
			감독은 웹 이라는 성때문에 선택된듯. 주인공의 주변인물 몇명에 우연에 우연으로 사건이 벌어지고, 경찰은 주인공의 증언을 믿지않고, 나중에 도와주고, 사건이 간신히 잘 해결되고...정신이 돌아온 악당이 후회하고.. 아주 지겹다 지겨워 
			
			
			
				
				
				
				신고
			
			
			",8
"77","
			
			
			
				어메이징 스파이더맨
			
			
			스파이더맨의 분위기가 너무 어두워... 
			
			
			
				
				
				
				신고
			
			
			",8
"78","
			
			
			
				어메이징 스파이더맨
			
			
			난 존나 재밌던데 왤케 평점이 이렇지 ㅋㅋㅋㅋ 깔끔하던데 
			
			
			
				
				
				
				신고
			
			
			",8
"79","
			
			
			
				어메이징 스파이더맨
			
			
			역동적이나 토비가 고민한 스파이더맨은 사라졌다. 
			
			
			
				
				
				
				신고
			
			
			",8
"80","
			
			
			
				어메이징 스파이더맨
			
			
			2는 모르겠지만 1은 확실한 재미를 보여준다. 그렇다고 대박은 아니지만 액션영화로써의 발빠른 스피디와 현란한 액션이 잘 배치되어 있다. 그리고 개인적으로 극장판에 앨리케이터가 나오길 바라는 것도 있었다. 
			
			
			
				
				
				
				신고
			
			
			",8
"81","
			
			
			
				어메이징 스파이더맨
			
			
			재밌는데 평점 왜들 저래... 
			
			
			
				
				
				
				신고
			
			
			",9
"82","
			
			
			
				어메이징 스파이더맨
			
			
			연기도 그냥그냥, 구성도 허접, 몰입도도 쩔어진다. 캐릭터도 그냥 애매하고 
			
			
			
				
				
				
				신고
			
			
			",9
"83","
			
			
			
				어메이징 스파이더맨
			
			
			이게 2편이나 나왔다는게 정말 신기하다.할리우드에서 이 정도로 못만들기도 힘든데 
			
			
			
				
				
				
				신고
			
			
			",9
"84","
			
			
			
				어메이징 스파이더맨
			
			
			원래 스파이더맨 시리즈는 안 좋아라 했지만, 스파이더맨의 인식을 바꿔놓은 작품 보는내내 흥미진진! 
			
			
			
				
				
				
				신고
			
			
			",9
"85","
			
			
			
				어메이징 스파이더맨
			
			
			어메이징 했다 정말 .. 
			
			
			
				
				
				
				신고
			
			
			",9
"86","
			
			
			
				어메이징 스파이더맨
			
			
			6.4/제발좀재밌으라고암시를걸며봤지만솔직히지루하고별로ㅠ가필드의스파이더맨이원작과많이비슷하다고들하는데원작보다토비스파이더맨을먼저접한나로선어색할뿐.명색이히어로물인데하이틴멜로비중이너무많고,액션은생각보다약해서실망.리자드맨은흉물스럽기만함;;모든면에서리부트전이낫다. 
			
			
			
				
				
				
				신고
			
			
			",9
"87","
			
			
			
				어메이징 스파이더맨
			
			
			워낙 스파이더맨 시리즈는 챙겨서 재미있게 보았는데... 인간 내면을 중심으로 다루었다는 점과 화려한 고공신은 괜찮은 편이었던... 
			
			
			
				
				
				
				신고
			
			
			",9
"88","
			
			
			
				어메이징 스파이더맨
			
			
			볼만한 괞찮은 작품... 
			
			
			
				
				
				
				신고
			
			
			",9
"89","
			
			
			
				어메이징 스파이더맨
			
			
			마지막 엠마스톤의 미소란.. 
			
			
			
				
				
				
				신고
			
			
			",9
"90","
			
			
			
				어메이징 스파이더맨
			
			
			꽤 괜찮았던 리부트....!! 
			
			
			
				
				
				
				신고
			
			
			",9
"91","
			
			
			
				어메이징 스파이더맨
			
			
			멜로로 장르변환한 거미 인간 
			
			
			
				
				
				
				신고
			
			
			",10
"92","
			
			
			
				어메이징 스파이더맨
			
			
			엠마 스톤이 날 설레게한거 때문인지 로맨스 비중이크다... 딴건 다 좋았고 크레인 스윙씬만 빼지.. 
			
			
			
				
				
				
				신고
			
			
			",10
"93","
			
			
			
				어메이징 스파이더맨
			
			
			재미는 있는데 엉클 죽인 범인놈 어디감? 
			
			
			
				
				
				
				신고
			
			
			",10
"94","
			
			
			
				어메이징 스파이더맨
			
			
			이게 왜 평점이 7점대냐 ㅡㅡ 떡두꺼비 토비보다 훨낫구만 
			
			
			
				
				
				
				신고
			
			
			",10
"95","
			
			
			
				어메이징 스파이더맨
			
			
			한개도 아까운데 1개도 안주면 평을못써서 반개준다 1이나 2나 어메이징은 진짜 어메이징하게 재미없다 
			
			
			
				
				
				
				신고
			
			
			",10
"96","
			
			
			
				어메이징 스파이더맨
			
			
			스파이더맨 시리즈를 약간 우려먹으나 분위기는 한층 더 밝아졌다. 
			
			
			
				
				
				
				신고
			
			
			",10
"97","
			
			
			
				어메이징 스파이더맨
			
			
			보는 내내 ""큰 힘에는 큰 책임이 따른다""라는 대사가 나오기를 기다렸건만... 
			
			
			
				
				
				
				신고
			
			
			",10
"98","
			
			
			
				어메이징 스파이더맨
			
			
			영웅물시리즈는 어떤 영화건 1편은 다 잼있는거 같다. 
			
			
			
				
				
				
				신고
			
			
			",10
"99","
			
			
			
				어메이징 스파이더맨
			
			
			베플들 수준봐 지들이 싫어하는거 좋아하면 다 알반가 그리고 토비 보고 싶음 이거 말고 1,2,3이나 계속 처보든가 
			
			
			
				
				
				
				신고
			
			
			",10
"100","
			
			
			
				어메이징 스파이더맨
			
			
			토비 보고 싶으면 전작을 보면 되잖아 뭔 뉴시리즈만 나왔다 하면 전작 주인공 내놔 이러는데 아니 주인공이 바뀌고 스토리가 바뀌니 뉴시리즈지 다똑같으면 그게 뉴시리즈냐 미개한거보소.. 
			
			
			
				
				
				
				신고
			
			
			",10
"101","
			
			
			
				어메이징 스파이더맨
			
			
			아쉽다~3편이 제작두절되다니;;어메이징잼있었는데... 
			
			
			
				
				
				
				신고
			
			
			",11
"102","
			
			
			
				어메이징 스파이더맨
			
			
			영화 스토리가 어메이징하다 
			
			
			
				
				
				
				신고
			
			
			",11
"103","
			
			
			
				어메이징 스파이더맨
			
			
			그냥... 볼만함미다... 
			
			
			
				
				
				
				신고
			
			
			",11
"104","
			
			
			
				어메이징 스파이더맨
			
			
			삼촌죽자 뜬금없이 착해지고 사과하는 깡패. 금방 신나는 스파이더맨, 여주의 집에 첫방문에 20층 베란다에서 출현, 금방 첫키스, 금방 스파이더맨 밝힘, 진짜 스토리 어메이징하네; 
			
			
			
				
				
				
				신고
			
			
			",11
"105","
			
			
			
				어메이징 스파이더맨
			
			
			난 진짜 재밋엇는데... 
			
			
			
				
				
				
				신고
			
			
			",11
"106","
			
			
			
				어메이징 스파이더맨
			
			
			화려한액션이 볼만하고 즈ㅡ인공브ㅡ럿다 
			
			
			
				
				
				
				신고
			
			
			",11
"107","
			
			
			
				어메이징 스파이더맨
			
			
			지난 시리즈의 진중함을 벗어버린 산뜻한 새출발 
			
			
			
				
				
				
				신고
			
			
			",11
"108","
			
			
			
				어메이징 스파이더맨
			
			
			이정도면 잘만들었고만 멀더바라짘원작이랑 내용도 비슷하고 스파이더맨 캐릭터도 비슷하드만 특히 여주짱 이런 진취적인 애가좋음 그냥 스파이더맨은 너무 여주가 무능력해 암튼 난 재밌었음 
			
			
			
				
				
				
				신고
			
			
			",11
"109","
			
			
			
				어메이징 스파이더맨
			
			
			정말 슈트도 멋있고 원작 피터파커하고 비슷하고 최고다. 
			
			
			
				
				
				
				신고
			
			
			",11
"110","
			
			
			
				어메이징 스파이더맨
			
			
			청춘물에서 로맨스물로 리부트. 
			
			
			
				
				
				
				신고
			
			
			",11
"111","
			
			
			
				어메이징 스파이더맨
			
			
			흠잡을데가 없는영화인데 전문가분들 너무하시네... 
			
			
			
				
				
				
				신고
			
			
			",12
"112","
			
			
			
				어메이징 스파이더맨
			
			
			볼만한 영화 찾아보다가 개이득ㅋㅋ 생각보다 재밌었고 2편도 보고 앞으로 개봉할 3편 까지 기대되는 영화 역시 마블충은 빠져나올수 없어.. 
			
			
			
				
				
				
				신고
			
			
			",12
"113","
			
			
			
				어메이징 스파이더맨
			
			
			토비맥과이어 스파이더맨보고 이거보면지금과 같은 높은평점 안나온다원조스파이더맨돌려달라 
			
			
			
				
				
				
				신고
			
			
			",12
"114","
			
			
			
				어메이징 스파이더맨
			
			
			원 오브 마이 favorites 
			
			
			
				
				
				
				신고
			
			
			",12
"115","
			
			
			
				어메이징 스파이더맨
			
			
			재밌네ㅋㅋㅋ재밌음ㅋㅋㅋ 
			
			
			
				
				
				
				신고
			
			
			",12
"116","
			
			
			
				어메이징 스파이더맨
			
			
			재밌기만하구만,,평점이 그지같네 ㅋㅋ 
			
			
			
				
				
				
				신고
			
			
			",12
"117","
			
			
			
				어메이징 스파이더맨
			
			
			너무 스토리가 탄탄대로임. 노잼 
			
			
			
				
				
				
				신고
			
			
			",12
"118","
			
			
			
				어메이징 스파이더맨
			
			
			진짜 스파이더맨은 토비맥과이어가 해야 되는듯 애는 하나도 안어울림 
			
			
			
				
				
				
				신고
			
			
			",12
"119","
			
			
			
				어메이징 스파이더맨
			
			
			리부트란게 이런거군 ㅋㅋㅋ 다음편 정주행예정 
			
			
			
				
				
				
				신고
			
			
			",12
"120","
			
			
			
				어메이징 스파이더맨
			
			
			엠마스톤미모가어메이징 
			
			
			
				
				
				
				신고
			
			
			",12
"121","
			
			
			
				어메이징 스파이더맨
			
			
			이미 했던 스파이더맨 탄생스토리를 또다시 하는거라서 지루하다 
			
			
			
				
				
				
				신고
			
			
			",13
"122","
			
			
			
				어메이징 스파이더맨
			
			
			기존의 스파이더맨보다 활기차고 장난기 넘쳐서 좋았던 것 같네요 기존 스파이더맨은 너무나 암울했는데.... 
			
			
			
				
				
				
				신고
			
			
			",13
"123","
			
			
			
				어메이징 스파이더맨
			
			
			영화 참 잘 만들었다 ...몇번을봐도 질리지않는다...풋풋하면서도 진지하다 ...엠마스톤도 넘 귀엽고 예쁘다. 
			
			
			
				
				
				
				신고
			
			
			",13
"124","
			
			
			
				어메이징 스파이더맨
			
			
			명작이다 3편 나와라ㅜㅜㅠ 
			
			
			
				
				
				
				신고
			
			
			",13
"125","
			
			
			
				어메이징 스파이더맨
			
			
			토비의 스파이더맨이 너무나도 그립다.... 
			
			
			
				
				
				
				신고
			
			
			",13
"126","
			
			
			
				어메이징 스파이더맨
			
			
			전작 스파이더맨 시리즈를 본 사람이라면 이질감이 들 것이다. 발전된 그래픽에 청춘 로맨스 같은 부분이 많이 추가되었다. 오로지 '볼거리'만을 찾는 사람들한테 추천하고 싶다. 전개가 제법 빠른편이라서 정신사납다. 스파이디의 슬랩스틱 코미디는 맘에 든다. 
			
			
			
				
				
				
				신고
			
			
			",13
"127","
			
			
			
				어메이징 스파이더맨
			
			
			다 필요없고 엠마와 앤드류가 잘 어울렸다 
			
			
			
				
				
				
				신고
			
			
			",13
"128","
			
			
			
				어메이징 스파이더맨
			
			
			그래,,,,엠마,,,, 너만 이쁘면 된거야! 난 그거면 된다고!! 그런데 XX스토리가 마이너스 3점임 엠마가 10점이고 
			
			
			
				
				
				
				신고
			
			
			",13
"129","
			
			
			
				어메이징 스파이더맨
			
			
			근래 5년간 본 영화중 최악이다.  분노가 치밀어서 평점 먹이려고 로그인까지 했다. 
			
			
			
				
				
				
				신고
			
			
			",13
"130","
			
			
			
				어메이징 스파이더맨
			
			
			내가 이런류의 영화를 많이 봐서 그런지 그냥 지루했음. 스토리도 샘 레이미의 스파이더맨1 재탕이고. 그나마 여주인공 이뻐서 이정도 준다. 
			
			
			
				
				
				
				신고
			
			
			",13
"131","
			
			
			
				어메이징 스파이더맨
			
			
			대체 어떤 점이 스토리 전개가 똥망이라는 건지 모르겠다. 모든영화를 다 스파이더맨2처럼 잘만들었으면 하나,,?? 꿈도 야무지네. 개인적으로 꽤 재밌다고 생각하는데 
			
			
			
				
				
				
				신고
			
			
			",14
"132","
			
			
			
				어메이징 스파이더맨
			
			
			원작이 훨 낫다 혹시나 하고 만든듯 
			
			
			
				
				
				
				신고
			
			
			",14
"133","
			
			
			
				어메이징 스파이더맨
			
			
			다음편이 기대되는 괜찮은 리부트. 
			
			
			
				
				
				
				신고
			
			
			",14
