"","value","L1"
"126","
			
			
			
				스파이더맨: 홈커밍
			
			
			스파이더맨 전개가 길었지만 재미있고 통쾌하고 귀엽고 즐거웠어요. 
			
			
			
				
				
				
				신고
			
			
			",13
"127","
			
			
			
				스파이더맨: 홈커밍
			
			
			재밋긴한데 쿠키기다리는게 너무힘들어요ㅠㅠ 
			
			
			
				
				
				
				신고
			
			
			",13
"128","
			
			
			
				스파이더맨: 홈커밍
			
			
			말그대로 마블로 홈커밍했내요 다른 마블영화에 비해서 앤션감은 좀 덜하지만 이제 시리즈1편이라 담편이 더 기대 됩니다 
			
			
			
				
				
				
				신고
			
			
			",13
"129","
			
			
			
				스파이더맨: 홈커밍
			
			
			별로예요~ 나이가 많아서 인가? 박열 볼걸그랬나봐요 
			
			
			
				
				
				
				신고
			
			
			",13
"130","
			
			
			
				스파이더맨: 홈커밍
			
			
			친구들이랑 재미있게 봤습니다 
			
			
			
				
				
				
				신고
			
			
			",13
"131","
			
			
			
				스파이더맨: 홈커밍
			
			
			쿠키 진짜 열심히 기다렸는데 역시 굿ㅋ 
			
			
			
				
				
				
				신고
			
			
			",14
"132","
			
			
			
				스파이더맨: 홈커밍
			
			
			스파이더맨홈커밍 괜찮았습니다 
			
			
			
				
				
				
				신고
			
			
			",14
"133","
			
			
			
				스파이더맨: 홈커밍
			
			
			꼭 쿠키영상보세요!! 짱재미잇게본거같네요 
			
			
			
				
				
				
				신고
			
			
			",14
"134","
			
			
			
				스파이더맨: 홈커밍
			
			
			시간 가는줄 모르고 재밌게 봤어요 
			
			
			
				
				
				
				신고
			
			
			",14
"135","
			
			
			
				스파이더맨: 홈커밍
			
			
			더 재기발랄해진 스파이더맨! 
			
			
			
				
				
				
				신고
			
			
			",14
"136","
			
			
			
				스파이더맨: 홈커밍
			
			
			어른에겐 지루한  킬링타임이지만아이들에겐 좀더 친숙한 10대 스파이더맨 탄생 스토리....덕분에 아이는 신나게 거미줄을 쏘고있습니다.성장하는 아이를  본듯한  마지막이 좋았습니다.아이기분에 맞춰...9점입니다.. 
			
			
			
				
				
				
				신고
			
			
			",14
"137","
			
			
			
				스파이더맨: 홈커밍
			
			
			볼만은했어요  기대를 너무하고봤나봐요 
			
			
			
				
				
				
				신고
			
			
			",14
"138","
			
			
			
				스파이더맨: 홈커밍
			
			
			재밋어요 로다주땜에 ! ! 
			
			
			
				
				
				
				신고
			
			
			",14
"139","
			
			
			
				스파이더맨: 홈커밍
			
			
			기대했던 만큼은 아니지만, 그래도 재밌었습니다ㅎㅎ 
			
			
			
				
				
				
				신고
			
			
			",14
"140","
			
			
			
				스파이더맨: 홈커밍
			
			
			전형적인 마블영화지만 재밌다. 2번째 쿠키 보려고 기다리다가 화장실 너무 가고 싶어서 나왔음 
			
			
			
				
				
				
				신고
			
			
			",14
"141","
			
			
			
				스파이더맨: 홈커밍
			
			
			생각보다 지루함 기대가 너무 큰탓인지 
			
			
			
				
				
				
				신고
			
			
			",15
"142","
			
			
			
				스파이더맨: 홈커밍
			
			
			기대했던것보다별재미없네요 
			
			
			
				
				
				
				신고
			
			
			",15
"143","
			
			
			
				스파이더맨: 홈커밍
			
			
			재미있었다 프리퀄 영화 같은 면도 없진 않았지만액션이나 스토리도 매우 좋았고 아이언맨의 간간한 출연은 잠시 집중력이 흐트러질법 할때 마다 나와 눈길을 사로잡아줬다.다만 난 밤을 샌뒤 잠실롯데시네마에서 파는 클라우드 2캔응 마셔 중간에 잘뻔.. 
			
			
			
				
				
				
				신고
			
			
			",15
"144","
			
			
			
				스파이더맨: 홈커밍
			
			
			이거보고 스파이더맨 영화 다 찾아봤어요!!  톰 홀랜드 최고에요 너무 귀여워~~ ㅠ 강추강추 
			
			
			
				
				
				
				신고
			
			
			",15
"145","
			
			
			
				스파이더맨: 홈커밍
			
			
			톰 홀랜드 너무 멋져요! 
			
			
			
				
				
				
				신고
			
			
			",15
"146","
			
			
			
				스파이더맨: 홈커밍
			
			
			무난하게 보기 좋은 영화 현재볼만한 영화가 많이 없어서 보는거 
			
			
			
				
				
				
				신고
			
			
			",15
"147","
			
			
			
				스파이더맨: 홈커밍
			
			
			재밌음열자열자!!!! 
			
			
			
				
				
				
				신고
			
			
			",15
"148","
			
			
			
				스파이더맨: 홈커밍
			
			
			핵잼ㄹㅇ!!! 꼭 보세여 주인공도 존잘 ㅠㅠ 
			
			
			
				
				
				
				신고
			
			
			",15
"149","
			
			
			
				스파이더맨: 홈커밍
			
			
			어제 남자친구랑 오랫만에 아주 재밋게 봤어요...근데 남자친구가 영화 끝나고부터 집에와서까지 자꾸 손내밀면서 췩췩 거미줄을 쏘네요 ㅜㅜ ㅋㅋ 오늘도 카톡하는데 췩췩 하면서 
			
			
			
				
				
				
				신고
			
			
			",15
"150","
			
			
			
				스파이더맨: 홈커밍
			
			
			괜찮네요~ 리부트의 방향이 좋아보입니다 
			
			
			
				
				
				
				신고
			
			
			",15
"151","
			
			
			
				스파이더맨: 홈커밍
			
			
			지금까지 히어로물은 데드풀이 제일 웃긴 줄 알았는데 스파이더맨이 더 재밌습니다 ㅋㅋ.. 그리고 꼭 남아서 두 번째 엔딩크레딧 꼭 보세여 
			
			
			
				
				
				
				신고
			
			
			",16
"152","
			
			
			
				스파이더맨: 홈커밍
			
			
			재밌어요 스파이더맨 사랑해용 
			
			
			
				
				
				
				신고
			
			
			",16
